Full_name,major,class_year,academic_interests,hobbies
Emma Jackson,Biology,2027,Botany,Speech Recognition Technology
Leo Brown,Mathematics,2028,Mathematical Modeling,Grassroots Organizing
Isabella Martinez,Economics,2024,Labor Economics,Smart Home Automation
Alexander Wang,Political Science,2025,Cyber Politics,Genomic Data Analysis
Mia Kim,Chemistry,2026,Organic Chemistry,Nanomaterial Synthesis
Liam Brown,Business,2027,Entrepreneurship,Virtual Reality Therapy
Zoe Lee,Computer Science,2028,Cloud Computing,Sustainable Business Consulting
Nathan Wilson,Biology,2024,Immunology,Competitive Robotics
Olivia Taylor,Mathematics,2025,Cryptography,AI Ethics
Daniel Davis,Economics,2026,International Economics,Battery Technology
Sophia Anderson,Political Science,2027,Comparative Politics,Interactive Storytelling
Jacob Martinez,Chemistry,2028,Environmental Chemistry,Ethical Hacking
Ava Chen,Business,2024,Business Ethics,Quantum Programming
Ethan Patel,Computer Science,2025,Computer Graphics,Computational Modeling
Mia Kim,Biology,2026,Genetics,Optical Computing
William Nguyen,Mathematics,2027,Linear Algebra,Cognitive Rehabilitation
Isabella Garcia,Economics,2028,Monetary Economics,Urban Technology Integration
Nathan Wilson,Political Science,2024,Public Policy,Competitive Debate
Olivia Taylor,Chemistry,2025,Quantum Chemistry,3D Modeling
Daniel Davis,Business,2026,Human Resource Management,Virtual Reality Gaming
Emma Anderson,Computer Science,2027,Bioinformatics,Drone Photography
Jacob Martinez,Biology,2028,Molecular Biology,Urban Gardening
Ava Chen,Mathematics,2024,Game Theory,Escape Room Design
Ethan Patel,Economics,2025,Behavioral Finance,Algorithmic Trading
Mia Kim,Political Science,2026,Foreign Policy,Model United Nations
William Nguyen,Chemistry,2027,Astrochemistry,Amateur Astronomy
Isabella Garcia,Business,2028,Supply Chain Analytics,Social Entrepreneurship
Laura Martinez,Computer Science,2024,Cybersecurity,Ethical Hacking
Kevin Wang,Biology,2025,Systems Biology,Wildlife Conservation
Rachel Kim,Mathematics,2026,Dynamical Systems,Origami
Thomas Brown,Economics,2027,Experimental Economics,Board Game Design
Sophia Lee,Political Science,2028,Electoral Systems,Political Campaigning
Nathan Wilson,Chemistry,2024,Photochemistry,Science Journalism
Olivia Taylor,Business,2025,Corporate Finance,Stock Market Analysis
Daniel Davis,Computer Science,2026,Parallel Computing,Robotics Competitions
Emma Anderson,Biology,2027,Bioinformatics,Genetic Counseling
Jacob Martinez,Mathematics,2028,Complex Analysis,Mathematical Olympiad
Ava Chen,Economics,2024,Behavioral Game Theory,Experimental Economics
Ethan Patel,Political Science,2025,Political Economy,Policy Think Tanks
Mia Kim,Chemistry,2026,Computational Chemistry,Molecular Gastronomy
William Nguyen,Business,2027,Sustainable Finance,Impact Investing
Isabella Garcia,Computer Science,2028,Quantum Machine Learning,Quantum Art
Alexander Rodriguez,Biology,2024,Synthetic Biology,DIY Bio Experiments
Sophie Thompson,Mathematics,2025,Algebraic Topology,Mathematical Sculpture
Lucas Jackson,Economics,2026,Circular Economy,Sustainable Living
Emily Wilson,Political Science,2027,Digital Democracy,Civic Tech Development
Michael Davis,Chemistry,2028,Nanomaterials,Nanoart
Zoe Lee,Business,2024,Innovation Management,Tech Startup Incubation
David Chen,Computer Science,2025,Edge Computing,IoT Device Building
Lily Kim,Biology,2026,Epigenetics,Gene Editing Ethics
Aiden Patel,Mathematics,2027,Category Theory,Abstract Art
Chloe Brown,Economics,2028,Platform Economics,Sharing Economy Platforms
Ryan Taylor,Political Science,2024,Science Policy,Science Diplomacy
Hannah Johnson,Chemistry,2025,Supramolecular Chemistry,Molecular Modeling
Noah Martinez,Business,2026,Behavioral Operations,Operations Research
Grace Garcia,Computer Science,2027,Human-Robot Interaction,Social Robotics
Liam Wilson,Biology,2028,Astrobiology,Extraterrestrial Life Search
Ella Lee,Mathematics,2024,Information Theory,Data Compression Algorithms
Benjamin Rodriguez,Economics,2025,Network Economics,Social Network Analysis
Avery Kim,Political Science,2026,Technocracy,Future Governance Modeling
Scarlett Nguyen,Chemistry,2027,Bioorganic Chemistry,Drug Design
Owen Thompson,Business,2028,Circular Business Models,Waste-to-Resource Innovation
Madison Davis,Computer Science,2024,Neuromorphic Computing,Brain-Inspired AI
Joseph Chen,Biology,2025,Chronobiology,Sleep Science Research
Abigail Patel,Mathematics,2026,Spectral Graph Theory,Network Visualization
Samuel Jackson,Economics,2027,Complexity Economics,Agent-Based Modeling
Zoe Brown,Political Science,2028,Astropolitics,Space Law Advocacy
